"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US (USW00093738)",,,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),Next TAVG (Degrees Fahrenheit)
178,61,68,54,0,0,,72
179,72,89,55,0,0,0,82
180,82,96,68,0,0,0,71
181,71,86,56,0,0,0,63
182,63,79,46,0,0,0,75
183,75,87,63,0,0,0,64
184,64,81,46,0,0,0,52
185,52,72,32,0,0,0,53
186,53,67,39,0.08,0,0,53
187,53,56,50,0,0,0,57
188,57,62,51,0,0,0,65
189,65,70,60,0,0,0,66
190,66,70,61,0.02,0,0,67
191,67,73,60,1.39,0,0,61
192,61,65,56,0,0,0,64
193,64,71,56,0,0,0,63
194,63,73,52,0,0,0,57
195,57,69,45,0,0,0,58
196,58,70,46,0.01,0,0,54
197,54,65,43,0,0,0,51
198,51,67,35,0,0,0,52
199,52,68,35,0,0,0,54
200,54,73,35,0,0,0,63
201,63,81,45,0,0,0,64
202,64,75,52,0,0,0,59
203,59,71,46,0,0,0,53
204,53,66,40,0,0,0,45
205,45,52,37,0,0,0,46
206,46,64,28,0,0,0,53
207,53,73,32,0,0,0,53
208,53,73,32,0,0,0,55
209,55,72,38,0,0,0,55
210,55,65,45,0,0,0,60
211,60,73,46,0,0,0,51
212,51,65,36,0,0,0,48
213,48,66,30,0,0,0,53
214,53,67,38,0,0,0,50
215,50,65,34,0,0,0,50
216,50,58,42,0.02,0,0,44
217,44,47,40,0.17,0,0,39
218,39,51,27,0,0,0,34
219,34,47,20,0,0,0,36
220,36,50,22,0,0,0,42
221,42,54,29,0,0,0,36
222,36,46,26,0.02,0,0,46
223,46,57,34,0,0,0,44
224,44,56,33,0.07,0,0,54
225,54,70,38,0.44,0,0,44
226,44,56,32,0,0,0,46
227,46,59,33,0,0,0,49
228,49,64,33,0,0,0,52
229,52,65,39,0,0,0,45
230,45,61,28,0,0,0,50
231,50,64,36,0,0,0,45
232,45,54,35,0,0,0,45
233,45,61,28,0,0,0,57
234,57,67,47,0.12,0,0,39
235,39,47,31,0,0,0,36
236,36,50,22,0,0,0,47
237,47,69,25,0,0,0,49
238,49,65,33,0,0,0,40
239,40,55,25,0.03,0,0,55
240,55,63,47,0.34,0,0,45
241,45,60,30,0,0,0,50
242,50,71,28,0,0,0,52
243,52,73,30,0,0,0,51
244,51,69,33,0,0,0,50
245,50,66,34,0,0,0,47
246,47,68,26,0,0,,53
247,53,74,32,0,0,0,63
248,63,75,51,0,0,0,65
249,65,75,55,0,0,0,63
250,63,79,47,0,0,0,68
251,68,77,58,0.04,0,0,55
252,55,60,49,0.62,0,0,39
253,39,50,28,0.1,0,0,
254,,52,25,0,0,0,38
255,38,49,26,0,0,0,36
256,36,47,25,0,0,0,42
257,42,45,39,0.41,0,0,34
258,34,46,22,0,0,0,36
259,36,52,19,0,0,0,43
260,43,56,29,0,0,0,42
261,42,50,34,0,0,0,35
262,35,44,25,0,0,0,44
263,44,54,34,0,0,0,50
264,50,57,42,0,0,0,53
265,53,60,46,0,0,0,44
266,44,65,22,0.05,0,0,22
267,22,26,17,0.18,0.6,0,27
268,27,30,23,0.02,0,1,23
269,23,34,11,0,0,1,22
270,22,34,10,0,0,0,26
271,26,40,12,0,0,0,37
272,37,41,33,0,0,0,32
273,32,36,27,0.08,0,0,27
274,27,35,19,0.03,0,0,20
275,20,28,11,0,0,0,20
276,20,30,10,0,0,0,22
277,22,24,20,0.05,0,0,37
278,37,46,24,1.37,0,0,24
279,24,30,17,0,0,0,17
280,17,25,8,0,0,0,19
281,19,34,4,0,0,0,30
282,30,36,23,0,0,0,27
283,27,32,22,0.52,3.8,1,34
284,34,44,24,0.14,0,4,23
285,23,29,16,0,0,0,24
286,24,32,15,0,0,0,45
287,45,58,31,0,0,0,48
288,48,59,36,0,0,0,29
289,29,37,21,0.17,0,0,29
290,29,37,21,0.47,0.3,0,36
291,36,52,20,0,0,0,43
292,43,59,26,0.01,0,0,42
293,42,51,32,0.78,0,0,42
294,42,54,29,0,0,0,40
295,40,50,30,0.08,0,0,36
296,36,43,28,0.43,0,0,43
297,43,48,38,0.04,0,0,58
298,58,71,45,0.29,0,0,50
299,50,61,38,1.04,0,0,39
300,39,47,31,0,0,0,39
301,39,49,29,0,0,0,41
302,41,57,25,0,0,0,51
303,51,67,34,0,0,0,40
304,40,52,28,0,0,0,34
305,34,47,21,0,0,0,29
306,29,37,20,0,0,0,27
307,27,37,16,0.11,0,0,41
308,41,48,34,0.41,0,0,46
309,46,55,36,0,0,0,47
310,47,56,38,0.02,0,0,42
311,42,50,33,0,0,0,46
312,46,57,34,0.02,0,0,35
313,35,41,29,0.02,0,0,36
314,36,45,26,0,0,0,39
315,39,53,25,0,0,0,45
316,45,59,30,0,0,0,47
317,47,67,26,0,0,0,55
318,55,74,35,0.51,0,0,30
319,30,35,25,0,0,0,34
320,34,42,26,0,0,0,35
321,35,52,17,0,0,0,44
322,44,65,23,0,0,0,46
323,46,58,33,0.24,0,0,42
324,42,49,34,0.62,0,0,35
325,35,43,26,0,0,0,35
326,35,41,29,0,0,0,30
327,30,36,24,0,0,0,26
328,26,32,20,0,0,0,24
329,24,30,18,0.01,0.5,0,28
330,28,38,17,0,0,1,28
331,28,37,18,0.03,0.4,0,34
332,34,46,22,0,0,0,36
333,36,52,20,0.04,0,0,42
334,42,45,39,0.59,0,0,39
335,39,46,32,0,0,0,43
336,43,57,28,0,0,0,54
337,54,69,38,0.6,0,0,37
338,37,42,32,0.03,0.3,0,39
339,39,49,29,0,0,0,46
340,46,56,35,0.23,0,0,30
341,30,35,24,0,0,0,27
342,27,37,17,0,0,0,26
343,26,29,23,0.83,8.9,0,31
344,31,36,25,0.02,0,9,32
345,32,41,23,0,0,6,36
346,36,43,29,0,0,4,36
347,36,43,29,0,0,0,35
348,35,37,32,0.99,4,1,39
349,39,45,33,0.11,1.4,5,43
350,43,56,30,0,0,1,53
351,53,74,31,0,0,0,57
352,57,69,44,0,0,0,46
353,46,54,37,0,0,0,43
354,43,55,30,0,0,0,41
355,41,42,39,0.59,0,0,40
356,40,50,29,0,0,0,39
357,39,54,24,0,0,0,47
358,47,53,41,0.04,0,0,44
359,44,54,34,0,0,0,41
360,41,51,30,0,0,0,41
361,41,51,30,0,0,0,50
362,50,60,39,0,0,0,53
363,53,69,36,0,0,0,57
364,57,70,34,0,0,0,50
365,50,72,28,0,0,0,55
366,55,60,50,0.38,0,0,62
367,62,71,52,0,0,0,62
368,62,73,51,0,0,0,65
369,65,81,49,0.37,0,0,48
370,48,59,37,0.15,0,0,51
371,51,66,35,0,0,0,59
372,59,74,44,0,0,0,62
373,62,85,39,0,0,0,58
374,58,70,46,0.52,0,0,50
375,50,61,39,0.01,0,0,44
376,44,49,38,0.49,0,0,48
377,48,56,40,0,0,0,51
378,51,63,39,0,0,0,52
379,52,69,34,0,0,0,49
380,49,60,37,0.15,0,0,55
381,55,68,41,0,0,0,48
382,48,60,35,0,0,0,47
383,47,59,34,0,0,0,47
384,47,59,35,0,0,0,49
385,49,59,38,0.01,0,0,43
386,43,53,32,0.23,0,0,62
387,62,82,42,0.03,0,0,59
388,59,67,50,0.34,0,0,49
389,49,62,36,0,0,0,47
390,47,63,31,0,0,0,56
391,56,78,33,0,0,0,56
392,56,67,45,0,0,0,55
393,55,65,44,0,0,0,51
394,51,67,34,0,0,0,55
395,55,67,42,0,0,0,54
396,54,69,39,0,0,0,56
397,56,71,41,0,0,0,53
398,53,62,44,0,0,0,64
399,64,76,51,0,0,0,63
400,63,78,48,0,0,0,61
401,61,69,53,0,0,0,67
402,67,76,58,0.53,0,0,69
403,69,77,61,0.45,0,0,65
404,65,77,52,0,0,0,60
405,60,77,43,0,0,0,63
406,63,78,48,0,0,0,69
407,69,84,53,0,0,0,63
408,63,69,57,0,0,0,57
409,57,64,49,0,0,0,58
410,58,73,42,0,0,0,55
411,55,71,39,0,0,0,59
412,59,73,44,0,0,0,64
413,64,78,49,0,0,0,64
414,64,76,51,0,0,0,63
415,63,77,48,0,0,0,61
416,61,81,40,0,0,0,68
417,68,85,51,0.45,0,0,71
418,71,80,62,0.06,0,0,64
419,64,75,52,0.73,0,0,62
420,62,73,50,0,0,0,63
421,63,78,48,0,0,0,63
422,63,75,51,0,0,0,64
423,64,84,44,0,0,0,67
424,67,87,47,0,0,0,71
425,71,90,52,0,0,0,72
426,72,88,56,0,0,0,74
427,74,85,63,0,0,0,78
428,78,89,66,0,0,0,73
429,73,83,63,0,0,0,64
430,64,77,50,0,0,0,64
431,64,80,48,0,0,0,69
432,69,87,51,0,0,0,80
433,80,96,63,0,0,0,80
434,80,95,64,0,0,0,80
435,80,96,63,0,0,0,69
436,69,73,64,0,0,0,70
437,70,82,57,0,0,0,64
438,64,78,49,0,0,0,73
439,73,81,65,1.23,0,0,74
440,74,87,61,0.22,0,0,75
441,75,83,66,0,0,0,68
442,68,75,61,0.02,0,0,63
443,63,68,57,0.04,0,0,63
444,63,75,51,0,0,0,63
445,63,78,48,0,0,0,60
446,60,64,55,0.8,0,0,64
447,64,69,59,0.02,0,0,69
448,69,81,56,0,0,0,67
449,67,83,50,0,0,0,66
450,66,81,51,0,0,0,73
451,73,85,60,0,0,0,78
452,78,90,65,0,0,0,79
453,79,89,68,0,0,0,80
454,80,86,73,0.67,0,0,82
455,82,91,73,0,0,0,71
456,71,76,66,0,0,0,78
457,78,85,70,0.7,0,0,79
458,79,86,71,0.02,0,0,79
459,79,92,66,0,0,0,84
460,84,97,71,0,0,0,85
461,85,99,71,0,0,0,86
462,86,99,72,0.16,0,0,81
463,81,92,70,0.21,0,0,75
464,75,90,60,0,0,0,79
465,79,97,60,0,0,0,80
466,80,88,71,0.01,0,0,72
467,72,83,60,0,0,0,63
468,63,71,54,0.15,0,0,70
469,70,80,60,0,0,0,69
470,69,77,60,0,0,0,73
471,73,89,56,0,0,0,80
472,80,93,66,0,0,0,
473,,94,70,0,0,0,82
474,82,96,67,0.15,0,0,81
475,81,96,66,0.01,0,0,80
476,80,89,70,0,0,0,78
477,78,87,69,0.03,0,0,82
478,82,90,73,0.05,0,0,84
479,84,97,71,0,0,0,81
480,81,92,70,0.34,0,0,80
481,80,95,64,0.35,0,0,77
482,77,91,63,0,0,0,79
483,79,94,64,0,0,0,79
484,79,93,65,0.11,0,0,78
485,78,93,63,0.02,0,0,81
486,81,95,66,0.25,0,0,82
487,82,98,66,0,0,0,85
488,85,97,72,0.01,0,0,77
489,77,88,66,0,0,0,76
490,76,89,62,0,0,0,75
491,75,91,58,0,0,0,76
492,76,89,62,0,0,0,75
493,75,90,60,0,0,0,75
494,75,90,60,0,0,0,81
495,81,90,72,0.08,0,0,70
496,70,83,56,0,0,0,69
497,69,86,51,0,0,0,82
498,82,95,68,0,0,0,79
499,79,93,64,0,0,0,85
500,85,97,72,0.27,0,0,82
501,82,94,70,0.12,0,0,75
502,75,83,67,0,0,0,74
503,74,90,58,0,0,0,84
504,84,97,70,0,0,0,81
505,81,94,67,0,0,0,75
506,75,88,61,0.06,0,0,75
507,75,83,67,0.04,0,0,72
508,72,82,61,0,0,0,70
509,70,83,56,0,0,0,71
510,71,86,55,0.02,0,0,76
511,76,85,67,0.28,0,0,73
512,73,78,67,3.03,0,0,77
513,77,85,68,1.35,0,0,74
514,74,83,65,0.17,0,0,75
515,75,87,63,0,0,0,78
516,78,90,65,0,0,0,64
517,64,73,55,0,0,0,65
518,65,74,55,0,0,0,70
519,70,80,60,0,0,0,72
520,72,83,60,0,0,0,73
521,73,86,59,0,0,0,73
522,73,78,67,1,0,0,79
523,79,84,73,0.58,0,0,77
524,77,82,71,0.22,0,0,76
525,76,86,66,0.09,0,0,73
526,73,86,60,0,0,0,76
527,76,86,66,1.34,0,0,72
528,72,82,61,0,0,0,65
529,65,80,50,0,0,0,66
530,66,81,50,0,0,0,66
531,66,79,52,0,0,0,72
532,72,82,61,0,0,0,66
533,66,70,61,0.33,0,0,62
534,62,64,59,2.05,0,0,62
535,62,73,50,0,0,0,59
536,59,73,44,0,0,0,61
537,61,75,46,0,0,0,67
538,67,78,55,0.24,0,0,58
539,58,64,52,1.4,0,0,55
540,55,64,46,0.05,0,0,57
541,57,73,40,0,0,0,64
542,64,78,49,0,0,0,66
543,66,81,51,0,0,0,69
544,69,81,56,0,0,0,73
545,73,77,68,0.29,0,0,69
546,69,72,66,0.15,0,0,65
547,65,70,59,1.08,0,0,57
548,57,67,46,0.5,0,0,56
549,56,71,41,0,0,0,60
550,60,76,44,0,0,0,65
551,65,78,52,0,0,0,60
552,60,68,52,0.81,0,0,49
553,49,58,40,0,0,0,53
554,53,69,37,0,0,0,49
555,49,58,39,0,0,0,50
556,50,64,36,0,0,0,60
557,60,70,50,0.05,0,0,66
558,66,69,62,0.72,0,0,61
559,61,75,46,0,0,0,55
560,55,68,41,0,0,0,58
561,58,72,44,0.06,0,0,49
562,49,61,36,0,0,0,49
563,49,64,33,0,0,0,55
564,55,71,39,0,0,0,57
565,57,64,49,0.26,0,0,51
566,51,62,39,0,0,0,47
567,47,57,37,0.02,0,0,49
568,49,54,43,0.48,0,0,48
569,48,61,35,0,0,0,51
570,51,65,37,0.15,0,0,46
571,46,54,38,0,0,0,45
572,45,54,35,0,0,0,48
573,48,62,34,0,0,0,52
574,52,66,37,0,0,0,49
575,49,62,35,0,0,0,46
576,46,60,32,0,0,0,54
577,54,73,34,0,0,0,54
578,54,72,36,0,0,0,60
579,60,77,43,0,0,0,61
580,61,74,48,0,0,0,58
581,58,67,48,0.82,0,0,42
582,42,50,34,0,0,0,43
583,43,59,27,0,0,0,47
584,47,66,27,0,0,0,59
585,59,74,44,0,0,0,47
586,47,57,36,0,0,0,44
587,44,58,29,0,0,0,53
588,53,73,32,0,0,0,61
589,61,74,47,0,0,0,54
590,54,61,46,0,0,0,47
591,47,50,44,0,0,0,50
592,50,64,36,0,0,0,57
593,57,73,40,0,0,0,47
594,47,51,43,0,0,0,43
595,43,48,37,0,0,0,37
596,37,46,27,0,0,0,38
597,38,54,22,0,0,0,47
598,47,65,28,0,0,0,59
599,59,72,46,0,0,0,56
600,56,72,39,0,0,0,58
601,58,71,45,0,0,0,59
602,59,61,56,0.02,0,0,62
603,62,69,55,0,0,0,54
604,54,58,50,0.06,0,0,59
605,59,67,50,0.81,0,0,50
606,50,59,40,0.01,0,0,44
607,44,53,35,0,0,0,39
608,39,49,29,0,0,0,33
609,33,40,26,0,0,0,31
610,31,38,23,0,0,0,39
611,39,51,26,0,0,0,46
612,46,66,25,0,0,0,54
613,54,66,41,0,0,0,52
614,52,67,36,0,0,0,52
615,52,61,42,0.62,0,0,39
616,39,48,29,0,0,0,36
617,36,49,23,0,0,0,41
618,41,56,25,0,0,0,46
619,46,56,36,0.46,0,0,39
620,39,49,29,0,0,0,39
621,39,53,24,0,0,0,36
622,36,44,28,0.41,0,0,42
623,42,47,37,0.96,0,0,42
624,42,47,37,0,0,0,40
625,40,49,31,0,0,0,38
626,38,50,25,0,0,0,41
627,41,53,29,0,0,0,39
628,39,43,34,0,0,0,41
629,41,43,38,0.18,0,0,38
630,38,43,33,0.01,0,0,32
631,32,40,23,0.03,0.2,0,33
632,33,45,20,0,0,0,25
633,25,30,20,0,0,0,21
634,21,30,12,0,0,0,32
635,32,45,18,0,0,0,34
636,34,38,30,0,0,0,26
637,26,34,17,0,0,0,34
638,34,41,27,0,0,0,43
639,43,56,30,0,0,0,41
640,41,55,27,0,0,0,39
641,39,56,22,0,0,0,53
642,53,67,39,0,0,0,62
643,62,68,55,0,0,0,57
644,57,69,45,0.3,0,0,35
645,35,45,25,0,0,0,33
646,33,46,20,0,0,0,37
647,37,52,22,0,0,0,32
648,32,44,20,0,0,0,41
649,41,45,36,0.01,0,0,45
650,45,50,39,0.43,0,0,46
651,46,54,37,0.03,0,0,41
652,41,53,28,0,0,0,44
653,44,60,28,0,0,0,26
654,26,31,21,0,0,0,28
655,28,36,19,0,0,0,46
656,46,62,28,0,0,0,23
657,23,28,17,0,0,0,18
658,18,21,15,0,0.2,0,26
659,26,39,13,0,0,0,29
660,29,35,23,0.26,4.6,3,17
661,17,23,11,0,0,3,15
662,15,23,7,0,0,2,27
663,27,31,22,0,0,2,31
664,31,38,24,0,0,1,28
665,28,31,24,0.84,10.3,2,26
666,26,32,19,0,0,6,19
667,19,23,15,0,0,6,23
668,23,32,13,0,0,4,22
669,22,35,8,0,0,1,21
670,21,29,13,0.63,6.3,1,25
671,25,38,12,0,0,7,21
672,21,37,5,0,0,5,26
673,26,34,17,0,0,4,24
674,24,34,14,0,0,3,31
675,31,40,22,0.02,1,3,31
676,31,40,22,0,0,3,33
677,33,39,26,0,0,3,35
678,35,47,22,0,0,1,30
679,30,38,21,0,0,1,33
680,33,50,15,0,0,1,42
681,42,59,24,0,0,0,48
682,48,60,36,0.01,0,0,29
683,29,36,21,0,0,0,28
684,28,35,20,0,0,0,47
685,47,58,35,0.08,0,0,35
686,35,44,26,0,0,0,47
687,47,65,28,0,0,0,36
688,36,41,30,0,0,0,35
689,35,40,30,0.82,0.4,1,44
690,44,52,36,0.26,0,0,42
691,42,48,35,0,0,0,39
692,39,49,29,0,0,0,42
693,42,56,28,0,0,0,47
694,47,59,34,0,0,0,
695,,72,35,0,0,0,
696,,79,47,0,0,0,
697,,59,43,0,0,0,
698,,64,44,0.6,0,0,50
699,50,57,42,0.13,0,0,46
700,46,60,32,0,0,0,46
701,46,60,31,0.02,0,0,48
702,48,57,38,0,0,0,42
703,42,53,31,0,0,0,41
704,41,57,24,0,0,0,48
705,48,66,30,0,0,0,45
706,45,61,28,0,0,0,50
707,50,72,27,0,0,0,64
708,64,84,43,0,0,0,62
709,62,79,45,0,0,0,60
710,60,69,51,0,0,0,51
711,51,54,47,0.41,0,0,42
712,42,48,35,0.08,0,0,38
713,38,49,26,0,0,0,47
714,47,60,33,0,0,0,55
715,55,71,38,0,0,0,59
716,59,68,50,0.3,0,0,43
717,43,56,30,0.12,0,0,34
718,34,44,24,0,0,0,37
719,37,45,28,0,0,0,44
720,44,49,39,0.02,0,0,41
721,41,42,39,1.29,0,0,43
722,43,46,40,0.31,0,0,49
723,49,61,37,0,0,0,52
724,52,69,34,0,0,0,61
725,61,76,45,0.17,0,0,52
726,52,65,38,0,0,0,50
727,50,68,31,0.52,0,0,51
728,51,58,44,0.11,0,0,47
729,47,59,36,0,0,0,48
730,48,64,31,0,0,0,44
731,44,59,29,0,0,0,49
732,49,69,29,0,0,0,61
733,61,66,55,0.07,0,0,66
734,66,74,58,0.16,0,0,54
735,54,68,40,0.29,0,0,46
736,46,56,36,0,0,0,60
737,60,80,40,0,0,0,62
738,62,75,48,0,0,0,56
739,56,76,36,1.15,0,0,42
740,42,51,32,0.02,0.2,0,49
741,49,65,32,0,0,0,56
742,56,65,47,0.03,0,0,44
743,44,54,33,0.01,0,0,43
744,43,54,31,0,0,0,46
745,46,60,32,0,0,0,58
746,58,65,50,0.11,0,0,69
747,69,81,57,0.05,0,0,56
748,56,65,47,1.44,0,0,45
749,45,47,42,0.35,0,0,57
750,57,68,45,0,0,0,59
751,59,71,47,0,0,0,60
752,60,69,50,0.45,0,0,51
753,51,57,45,0.03,0,0,50
754,50,56,44,0,0,0,54
755,54,66,42,0,0,0,48
756,48,53,42,0.2,0,0,48
757,48,57,38,0,0,0,51
758,51,56,46,0,0,0,55
759,55,60,49,0,0,0,55
760,55,69,40,0,0,0,57
761,57,71,42,0,0,0,57
762,57,79,35,0,0,0,58
763,58,69,46,0.05,0,0,57
764,57,74,40,0,0,0,66
765,66,80,51,0,0,0,74
766,74,86,61,0,0,0,73
767,73,87,58,0,0,0,74
768,74,90,58,0,0,0,78
769,78,90,66,0.01,0,0,77
770,77,89,64,0,0,0,70
771,70,87,53,0.67,0,0,64
772,64,79,48,0,0,0,70
773,70,86,54,0,0,0,78
774,78,92,63,0.04,0,0,65
775,65,76,53,0,0,0,55
776,55,69,41,0,0,0,54
777,54,72,35,0,0,0,65
778,65,77,53,0,0,0,74
779,74,84,63,0,0,0,68
780,68,73,62,0.37,0,0,58
781,58,61,55,0.03,0,0,63
782,63,71,55,0.26,0,0,62
783,62,66,58,0.82,0,0,64
784,64,70,58,0.07,0,0,70
785,70,85,55,0.02,0,0,65
786,65,77,52,0,0,0,65
787,65,80,49,0,0,0,59
788,59,64,54,0.13,0,0,59
789,59,62,55,0.1,0,0,56
790,56,65,47,0,0,0,54
791,54,66,42,0,0,0,57
792,57,75,39,0,0,0,72
793,72,87,56,0,0,0,77
794,77,91,62,0.22,0,0,64
795,64,75,53,0,0,0,62
796,62,74,50,0,0,0,65
797,65,70,59,0.01,0,0,62
798,62,65,58,0.36,0,0,65
799,65,77,53,0,0,0,66
800,66,82,50,0,0,0,73
801,73,89,57,0,0,0,77
802,77,92,62,0,0,0,79
803,79,93,65,0,0,0,81
804,81,92,69,0.06,0,0,70
805,70,74,65,0.02,0,0,69
806,69,74,64,0.05,0,0,75
807,75,84,66,0.87,0,0,76
808,76,85,67,0,0,0,80
809,80,88,71,0.68,0,0,78
810,78,88,68,0.04,0,0,63
811,63,71,55,0.01,0,0,65
812,65,82,48,0,0,0,76
813,76,87,65,0.63,0,0,76
814,76,85,67,0.04,0,0,72
815,72,83,60,0,0,0,76
816,76,89,63,0,0,0,80
817,80,91,69,0.49,0,0,79
818,79,91,67,0.06,0,0,77
819,77,85,69,0.3,0,0,71
820,71,74,67,0.16,0,0,75
821,75,83,66,0.02,0,0,69
822,69,80,58,0,0,0,70
823,70,83,57,0,0,0,71
