"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US (USW00093738)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
255,,87,49,0,0,0
256,,93,50,0,0,0
257,,86,58,0,0,0
258,,89,56,0,0,0
259,,82,59,0,0,0
260,,75,58,0.54,0,0
261,,74,53,0,0,0
262,,74,47,0,0,0
263,,64,47,0.09,0,0
264,,65,33,0,0,0
265,,70,35,0,0,0
266,,69,34,0.15,0,0
267,,68,54,0,0,0
268,,69,46,0.01,0,0
269,,68,54,0,0,0
270,,65,56,0.3,0,0
271,,69,51,0,0,0
272,,68,42,0,0,0
273,,73,39,0,0,0
274,,58,48,,0,0
275,,49,38,,0,0
276,,45,31,,0,0
277,,44,33,,0,0
278,,50,42,,0,0
279,,52,37,,0,0
280,,45,32,,0,0
281,,50,30,,0,0
282,,41,28,,0,0
283,,44,29,,0,0
284,,45,31,,0,0
285,,52,35,,0,0
286,,58,31,0,0,0
287,,58,30,,0,0
288,,61,28,0,0,0
289,,59,30,0,0,0
290,,56,28,0,0,0
291,,52,31,0,0,0
292,,57,32,0,0,0
293,,45,32,,0,0
294,,42,32,0,0,0
295,,43,26,0,0,0
296,,35,25,,0,0
297,,32,16,0,0,0
298,,28,12,,0.5,0
299,,23,11,0,0,0
300,,25,12,,0,0
301,,31,15,0,0,0
302,,32,10,0,0,0
303,,39,30,,0,0
304,,45,27,0,0,0
305,,46,22,0,0,0
306,,39,25,0,0,0
307,,45,29,0,0,0
308,,30,20,,5.8,1
309,,41,25,,0.3,4
310,,45,14,0,0,3
311,,32,17,0,0,3
312,,27,23,,4.4,5
313,,41,23,0,0,7
314,,36,22,0,0,6
315,,37,12,0,0,6
316,,36,12,,3.3,6
317,,35,13,0,0,8
318,,20,11,0,0,8
319,,28,14,0,0,8
320,,34,23,0,0,7
321,,33,24,,0,7
322,,36,18,0,0,6
323,,36,9,0,0,6
324,,41,23,,0,6
325,,40,19,0,0,6
326,,36,24,,0,6
327,,44,18,0,0,6
328,,51,22,0,0,5
329,,44,35,,0,4
330,,40,35,,0,3
331,,36,25,,0,1
332,,33,17,0,0,0
333,,37,15,0,0,0
334,,41,16,0,0,0
335,,50,25,0,0,0
336,,41,31,,0,0
337,,35,30,,0,0
338,,56,34,,0,0
339,,40,16,,0,0
340,,39,15,0,0,0
341,,44,13,,0,0
342,,25,4,0,0,0
343,,30,11,0,0,0
344,,34,25,,1,0
345,,33,14,,0,1
346,,22,8,0,0,1
347,,30,-1,0,0,1
348,,32,28,,0,1
349,,31,16,,0.7,2
350,,30,15,,0.7,2
351,,39,30,,0,3
352,,39,19,0,0,2
353,,31,12,0,0,1
354,,46,20,0,0,1
355,,53,24,0,0,0
356,,43,29,,0,0
357,,36,19,0,0,0
358,,33,11,0,0,0
359,,47,24,,0,0
360,,42,35,,0,0
361,,37,29,,0,0
362,,33,22,0,0,0
363,,35,20,,0,0
364,,25,16,0,0,0
365,,27,11,0,0,0
366,,39,10,0,0,0
367,,52,22,0,0,0
368,,36,33,,2.9,0
369,,51,30,,0,2
370,,44,15,,0,0
371,,21,8,,0,0
372,,34,5,,0,0
373,,38,29,,0,0
374,,47,19,,0,0
375,,34,18,0,0,0
376,,32,12,0,0,0
377,,47,31,0,0,0
378,,36,34,0.15,0,0
379,,44,34,0,0,0
380,,56,24,0,0,0
381,,61,31,0.06,0,0
382,,46,38,0.15,0,0
383,,51,36,0.71,0,0
384,,49,33,0,0,0
385,,54,31,0,0,0
386,,59,27,0,0,0
387,,54,33,0,0,0
388,,37,31,0.82,1,0
389,,42,35,0.49,0,0
390,,57,38,0,0,0
391,,49,36,0,0,0
392,,49,29,0,0,0
393,,51,32,0.4,0,0
394,,77,41,0.27,0,0
395,,58,42,0,0,0
396,,42,37,0.97,0,0
397,,54,37,0.01,0,0
398,,42,33,0.01,0,0
399,,46,33,0,0,0
400,,57,30,0,0,0
401,,74,29,0,0,0
402,,76,45,0,0,0
403,,70,47,0.3,0,0
404,,65,41,0,0,0
405,,76,43,0,0,0
406,,68,43,0,0,0
407,,81,38,0,0,0
408,,67,50,0,0,0
409,,54,45,0.19,0,0
410,,84,49,0.01,0,0
411,,85,51,0,0,0
412,,70,44,0,0,0
413,,58,36,0,0,0
414,,62,31,0,0,0
415,,67,40,0,0,0
416,,60,31,0.02,0,0
417,,53,43,0.03,0,0
418,,48,35,0,0,0
419,,58,34,0,0,0
420,,61,39,0,0,0
421,,60,38,0,0,0
422,,63,42,0,0,0
423,,61,36,0,0,0
424,,64,31,0,0,0
425,,65,50,0.02,0,0
426,,81,50,0.02,0,0
427,,85,49,0,0,0
428,,77,53,0,0,0
429,,80,44,0,0,0
430,,65,52,0,0,0
431,,68,45,0.67,0,0
432,,53,39,0,0,0
433,,59,36,0,0,0
434,,64,33,0,0,0
435,,65,34,0,0,0
436,,67,38,0,0,0
437,,58,40,0.05,0,0
438,,73,47,0.16,0,0
439,,47,37,0,0,0
440,,65,36,0,0,0
441,,76,32,0,0,0
442,,81,40,0,0,0
443,,83,47,0,0,0
444,,75,52,0,0,0
445,,72,50,0,0,0
446,,84,50,0,0,0
447,,91,59,0,0,0
448,,90,60,0,0,0
449,,66,47,0,0,0
450,,62,41,0,0,0
451,,65,38,0,0,0
452,,78,49,0.23,0,0
453,,70,49,0,0,0
454,,73,50,0,0,0
455,,65,51,0.41,0,0
456,,72,53,0,0,0
457,,80,50,0,0,0
458,,80,51,0.14,0,0
459,,61,47,0.04,0,0
460,,70,48,0,0,0
461,,62,42,0,0,0
462,,65,36,0,0,0
463,,71,40,0,0,0
464,,70,54,0,0,0
465,,66,55,0,0,0
466,,71,58,0.03,0,0
467,,74,60,0.67,0,0
468,,76,57,0,0,0
469,,75,52,0,0,0
470,,76,50,0,0,0
471,,64,58,0.62,0,0
472,,63,61,2.11,0,0
473,,78,61,0,0,0
474,,78,62,1.42,0,0
475,,83,58,0.26,0,0
476,,85,64,0.7,0,0
477,,67,61,0.26,0,0
478,,85,64,0,0,0
479,,94,66,0.83,0,0
480,,80,64,0.03,0,0
481,,69,60,0,0,0
482,,77,56,0,0,0
483,,79,60,0.19,0,0
484,,75,59,0,0,0
485,,70,54,0,0,0
486,,80,51,0,0,0
487,,87,58,0,0,0
488,,89,63,0,0,0
489,,86,64,1.2,0,0
490,,72,56,0.03,0,0
491,,77,48,0,0,0
492,,83,52,0,0,0
493,,86,52,0,0,0
494,,88,58,0,0,0
495,,91,60,0,0,0
496,,93,60,0,0,0
497,,91,70,0,0,0
498,,93,68,0.72,0,0
499,,90,70,0.22,0,0
500,,92,72,0,0,0
501,,92,70,0.02,0,0
502,,82,68,0,0,0
503,,80,57,0,0,0
504,,85,52,0,0,0
505,,87,59,0,0,0
506,,88,58,0,0,0
507,,86,65,0,0,0
508,,77,55,0,0,0
509,,80,53,0.01,0,0
510,,83,55,0,0,0
511,,90,56,0,0,0
512,,85,58,0,0,0
513,,71,63,0.44,0,0
514,,89,65,0,0,0
515,,90,63,0.17,0,0
516,,95,66,0,0,0
517,,97,71,0,0,0
518,,96,72,0,0,0
519,,92,73,0,0,0
520,,89,69,0,0,0
521,,86,65,0.39,0,0
522,,84,67,0,0,0
523,,88,62,0,0,0
524,,92,64,0,0,0
525,,96,66,0,0,0
526,,97,70,0,0,0
527,,94,75,0.15,0,0
528,,91,73,0.07,0,0
529,,92,75,0,0,0
530,,88,67,0,0,0
531,,90,67,0,0,0
532,,90,66,0,0,0
533,,88,66,0,0,0
534,,92,70,0.04,0,0
535,,90,65,0,0,0
536,,88,57,0,0,0
537,,82,69,0.01,0,0
538,,91,64,0,0,0
539,,93,62,0,0,0
540,,88,69,0,0,0
541,,91,61,0,0,0
542,,91,56,0,0,0
543,,90,70,0.87,0,0
544,,78,62,0,0,0
545,,81,51,0,0,0
546,,84,57,0,0,0
547,,92,63,0,0,0
548,,83,61,0,0,0
549,,82,58,0.34,0,0
550,,84,69,2.17,0,0
551,,82,68,0.03,0,0
552,,89,71,0.07,0,0
553,,87,68,0,0,0
554,,85,63,0,0,0
555,,76,55,0,0,0
556,,79,52,0,0,0
557,,81,55,0,0,0
558,,81,60,0,0,0
559,,81,67,1.17,0,0
560,,83,68,0,0,0
561,,81,62,0,0,0
562,,78,55,0,0,0
563,,83,52,0,0,0
564,,87,67,0.07,0,0
565,,81,69,0.01,0,0
566,,69,58,0.4,0,0
567,,73,56,0,0,0
568,,78,58,0,0,0
569,,82,57,0,0,0
570,,85,57,0,0,0
571,,84,61,0,0,0
572,,83,56,0,0,0
573,,90,71,0,0,0
574,,78,56,0,0,0
575,,64,50,0,0,0
576,,60,53,0.45,0,0
577,,65,57,0.08,0,0
578,,76,54,0,0,0
579,,78,61,0,0,0
580,,86,55,0,0,0
581,,90,57,0,0,0
582,,75,58,0.02,0,0
583,,69,46,0,0,0
584,,67,38,0,0,0
585,,64,35,0,0,0
586,,70,35,0,0,0
587,,80,43,0,0,0
588,,84,45,0,0,0
589,,84,50,0.04,0,0
590,,75,60,2.23,0,0
591,,70,47,0,0,0
592,,76,43,0,0,0
593,,79,47,0,0,0
594,,81,57,0,0,0
595,,70,41,0,0,0
596,,71,38,0,0,0
597,,80,38,0,0,0
598,,86,45,0,0,0
599,,78,49,0,0,0
600,,69,42,0,0,0
601,,71,38,0,0,0
602,,76,40,0,0,0
603,,70,43,0,0,0
604,,66,37,0,0,0
605,,74,32,0,0,0
606,,80,34,0,0,0
607,,81,37,0,0,0
608,,83,39,0,0,0
609,,82,47,0,0,0
610,,83,46,0,0,0
611,,80,50,0,0,0
612,,83,48,0,0,0
613,,60,53,0,0,0
614,,72,51,0,0,0
615,,78,47,0,0,0
616,,77,44,0,0,0
617,,76,56,0,0,0
618,,84,50,0,0,0
619,,64,45,0,0,0
620,,61,46,0,0,0
621,,57,39,0,0,0
622,,66,39,0,0,0
623,,61,47,1.07,0,0
624,,50,40,0.05,0,0
625,,53,34,0,0,0
626,,60,28,0,0,0
627,,62,43,0.13,0,0
628,,59,56,2.42,0,0
629,,60,54,1.21,0,0
630,,60,53,0,0,0
631,,65,42,0,0,0
632,,64,36,0,0,0
633,,63,40,0,0,0
634,,54,29,0,0,0
635,,53,21,0,0,0
636,,52,31,0,0,0
637,,54,29,0,0,0
638,,62,27,0,0,0
639,,75,42,0,0,0
640,,76,47,0,0,0
641,,65,36,0,0,0
642,,58,31,0,0,0
643,,66,46,0.04,0,0
644,,70,38,0,0,0
645,,64,50,0.73,0,0
646,,50,34,0,0,0
647,,47,27,0,0,0
648,,44,30,0,0,0
649,,67,37,0,0,0
650,,61,33,0.07,0,0
651,,65,37,2.04,0,0
652,,43,34,0.07,0,0
653,,40,26,0,0,0
654,,41,25,0.02,0,0
655,,38,35,0.09,0,0
656,,43,27,0,0,0
657,,40,32,0,0,0
658,,43,25,0,0,0
659,,53,26,0,0,0
660,,50,26,0.75,0,0
661,,41,29,0,0,0
662,,44,27,0,0,0
663,,39,35,0,0,0
664,,38,33,0.26,0.5,0
665,,41,32,0,0,0
666,,38,20,0.1,0,0
667,,31,19,0,0,0
668,,32,18,0,0,0
669,,33,15,0,0,0
670,,34,22,0.08,1,0
671,,31,14,0,0,1
672,,28,12,0,0,0
673,,30,12,0,0,0
674,,35,13,0,0,0
675,,32,19,0.96,7.5,0
676,,40,17,0,0,7
677,,42,17,0,0,6
678,,55,9,0,0,5
679,,45,25,0,0,4
680,,35,17,0,0,3
681,,37,9,0,0,3
682,,25,4,0,0,3
683,,25,2,0,0,2
684,,38,23,0.96,0.6,3
685,,48,28,0,0,2
686,,59,36,0,0,2
687,,49,34,0,0,1
688,,52,24,0,0,0
689,,50,29,0.2,0,0
690,,46,28,0.18,0,0
691,,41,23,0,0,0
692,,43,37,1.39,0,0
693,,43,28,0,0,0
694,,39,22,0,0,0
695,,28,18,0.75,4.2,0
696,,23,18,1.03,6,5
697,,22,7,0,0,10
698,,30,-7,0,0,9
699,,40,-4,0,0,6
700,,40,9,0,0,5
701,,44,8,0,0,5
702,,44,11,0,0,4
703,,44,38,0.28,0,3
704,,58,38,0,0,2
705,,60,33,0,0,0
706,,55,30,0,0,0
707,,46,29,0.11,0,0
708,,60,35,0.66,0,0
709,,50,31,0,0,0
710,,48,26,0,0,0
711,,39,25,0,0,0
712,,36,20,0,0,0
713,,45,20,0,0,0
714,,37,17,0,0,0
715,,42,33,0.09,0,0
716,,43,33,0,0,0
717,,39,25,0,0,0
718,,50,16,0,0,0
719,,59,23,0,0,0
720,,42,31,1.22,0,0
721,,53,37,0,0,0
722,,37,25,0,0,0
723,,42,21,0,0,0
724,,38,27,0.06,0.2,0
725,,29,12,0.9,6.9,3
726,,35,3,0,0,6
727,,37,10,0.01,0,5
728,,40,27,0,0,3
729,,35,16,0.31,0.2,1
730,,39,29,0.1,0,1
731,,42,23,0,0,0
732,,33,22,1.29,2.5,0
733,,35,31,0.21,2.4,4
734,,36,28,0.03,0,3
735,,36,20,0,0,3
736,,30,18,0,0,2
737,,32,12,0,0,2
738,,42,20,0,0,2
739,,34,17,0,0,1
740,,54,19,0,0,1
741,,33,23,0,0,0
742,,37,20,0.28,2.7,0
743,,44,24,0,0,3
744,,49,27,0,0,0
745,,60,30,0,0,0
746,,48,42,0.21,0,0
747,,47,42,0.06,0,0
748,,72,43,0,0,0
749,,53,33,0,0,0
750,,59,32,0.02,0,0
751,,53,34,0.28,0,0
752,,76,46,0,0,0
753,,74,36,0,0,0
754,,48,31,0,0,0
755,,45,26,0.03,0,0
756,,52,22,0,0,0
757,,55,32,0.3,0,0
758,,57,32,0.26,0,0
759,,61,32,0,0,0
760,,66,39,0,0,0
761,,39,23,0,0,0
762,,48,24,0,0,0
763,,46,25,0,0,0
764,,37,32,1.13,2.3,0
765,,45,31,0,0,2
766,,51,25,0,0,0
767,,68,26,0,0,0
768,,72,47,0,0,0
769,,74,36,0.11,0,0
770,,53,31,0,0,0
771,,60,32,0,0,0
772,,47,28,0,0,0
773,,37,25,0.37,5.3,5
774,,39,17,0.05,1.7,0
775,,41,24,0.06,0.6,1
776,,42,21,0.42,0,0
777,,68,35,0.04,0,0
778,,47,27,0,0,0
779,,56,23,0,0,0
780,,44,38,0.33,0,0
781,,60,42,0.28,0,0
782,,60,41,0.41,0,0
783,,54,38,0,0,0
784,,61,28,0,0,0
785,,63,38,0,0,0
786,,70,36,0,0,0
787,,66,52,0,0,0
788,,66,57,0.31,0,0
789,,68,46,0,0,0
790,,65,31,0,0,0
791,,84,49,0,0,0
792,,84,48,0,0,0
793,,74,54,0.5,0,0
794,,57,46,0.46,0,0
795,,46,44,0,0,0
796,,59,44,0,0,0
797,,72,45,0,0,0
798,,68,45,0,0,0
799,,59,37,0,0,0
800,,61,38,0,0,0
801,,60,36,0.18,0,0
802,,65,55,0.07,0,0
803,,57,45,0.54,0,0
804,,49,43,0.08,0,0
805,,50,46,0,0,0
806,,61,43,0,0,0
807,,63,42,0,0,0
808,,72,48,0,0,0
809,,74,45,0,0,0
810,,74,43,0,0,0
811,,88,47,0,0,0
812,,88,54,0,0,0
813,,84,66,0,0,0
814,,79,62,0,0,0
815,,78,50,0,0,0
816,,76,54,0.02,0,0
817,,71,56,0.54,0,0
818,,67,50,0,0,0
819,,67,45,0,0,0
820,,80,45,0,0,0
821,,81,55,0.24,0,0
822,,82,55,0,0,0
823,,87,57,0,0,0
824,,80,57,0,0,0
825,,73,44,0,0,0
826,,88,53,0,0,0
827,,92,60,0,0,0
828,,90,63,0,0,0
829,,82,60,0,0,0
830,,82,47,0,0,0
831,,87,63,0,0,0
832,,68,53,0,0,0
833,,73,49,0,0,0
834,,75,47,0,0,0
835,,76,55,0,0,0
836,,64,54,0.01,0,0
837,,73,53,0,0,0
838,,78,49,0,0,0
839,,82,44,0,0,0
840,,79,59,0,0,0
841,,83,60,0.23,0,0
842,,82,60,0,0,0
843,,86,64,0,0,0
844,,89,62,0,0,0
845,,99,65,0,0,0
846,,83,55,0,0,0
847,,83,50,0,0,0
848,,92,67,0,0,0
849,,90,69,0,0,0
850,,98,69,0.27,0,0
851,,75,57,0,0,0
852,,78,52,0,0,0
853,,86,48,0,0,0
854,,90,70,0.8,0,0
855,,97,67,0.05,0,0
856,,95,69,0,0,0
857,,90,69,0,0,0
858,,80,70,0,0,0
859,,92,70,0,0,0
860,,83,60,0,0,0
861,,89,54,0,0,0
862,,100,59,0,0,0
863,,87,60,0,0,0
864,,93,54,0,0,0
865,,98,64,0,0,0
866,,94,67,0,0,0
867,,90,69,0.02,0,0
868,,92,68,0.38,0,0
869,,84,65,0.03,0,0
870,,87,57,0,0,0
871,,89,53,0,0,0
872,,91,56,0,0,0
873,,78,67,0.61,0,0
874,,83,64,0,0,0
875,,89,60,0,0,0
876,,92,62,0,0,0
877,,82,66,1.79,0,0
878,,81,69,0.25,0,0
879,,86,65,0,0,0
880,,89,62,0,0,0
881,,88,66,0,0,0
882,,92,66,0,0,0
883,,87,67,0,0,0
884,,88,70,0,0,0
885,,88,69,0,0,0
886,,85,70,0,0,0
887,,86,72,0,0,0
888,,89,70,0,0,0
889,,82,69,0,0,0
890,,75,68,0,0,0
891,,81,68,0,0,0
892,,88,67,0,0,0
893,,91,71,0.01,0,0
894,,93,73,0,0,0
895,,87,63,0,0,0
896,,84,61,0,0,0
897,,77,57,0,0,0
898,,89,65,0.01,0,0
899,,75,61,0.82,0,0
900,,75,61,0,0,0
901,,82,63,0,0,0
902,,82,59,0,0,0
903,,88,54,0,0,0
904,,88,64,0.49,0,0
905,,78,51,0,0,0
906,,75,61,0,0,0
907,,81,65,0.01,0,0
908,,87,62,0,0,0
909,,74,50,0,0,0
910,,75,51,0,0,0
911,,77,45,0,0,0
912,,77,53,0.29,0,0
913,,82,63,0,0,0
914,,85,62,0,0,0
915,,77,55,0,0,0
916,,84,47,0,0,0
917,,92,63,0,0,0
918,,92,69,0,0,0
919,,92,74,0,0,0
920,,90,63,0,0,0
921,,93,66,0,0,0
922,,90,67,0,0,0
923,,82,66,0,0,0
924,,82,66,0,0,0
925,,87,66,0,0,0
926,,87,72,0.74,0,0
927,,87,73,0.13,0,0
928,,82,63,0.05,0,0
929,,79,57,0,0,0
930,,85,49,0,0,0
931,,94,59,0,0,0
932,,91,65,0,0,0
933,,82,50,0,0,0
934,,85,51,0,0,0
935,,84,55,0,0,0
936,,89,54,0,0,0
937,,89,57,0,0,0
938,,95,72,0,0,0
939,,74,61,0.01,0,0
940,,61,45,0.15,0,0
941,,77,40,0,0,0
942,,82,42,0,0,0
943,,80,55,0,0,0
944,,88,57,0,0,0
945,,81,64,0.02,0,0
946,,75,63,1.09,0,0
947,,64,62,0.05,0,0
948,,74,56,0,0,0
949,,77,52,0,0,0
950,,85,52,0,0,0
951,,80,56,0,0,0
952,,73,46,0,0,0
953,,77,38,0,0,0
954,,78,52,0,0,0
955,,68,51,0.8,0,0
956,,60,51,0.7,0,0
957,,62,55,0.85,0,0
958,,63,52,0.01,0,0
959,,67,58,0.58,0,0
960,,71,51,0,0,0
961,,65,52,0.25,0,0
962,,59,38,0,0,0
963,,61,35,0,0,0
964,,59,35,0,0,0
965,,61,32,0,0,0
966,,66,35,0,0,0
967,,55,40,0,0,0
968,,56,30,0,0,0
969,,66,25,0,0,0
970,,74,34,0,0,0
971,,71,40,0,0,0
972,,68,39,0,0,0
973,,71,50,0.85,0,0
974,,61,58,0.14,0,0
975,,78,50,0,0,0
976,,57,45,0.13,0,0
977,,53,38,0,0,0
978,,61,29,0,0,0
979,,62,39,0,0,0
980,,55,32,0,0,0
981,,56,26,0,0,0
982,,65,28,0,0,0
983,,76,35,0,0,0
984,,74,37,0,0,0
985,,73,37,0,0,0
986,,70,47,0,0,0
987,,63,37,0,0,0
988,,62,33,0,0,0
989,,64,31,0,0,0
990,,68,33,0,0,0
991,,58,35,0,0,0
992,,67,33,0,0,0
993,,73,33,0,0,0
994,,57,35,0,0,0
995,,68,28,0,0,0
996,,61,28,0,0,0
997,,65,33,0,0,0
998,,67,29,0,0,0
999,,73,38,0,0,0
1000,,74,37,0,0,0
1001,,75,53,0,0,0
1002,,65,36,0,0,0
1003,,70,30,0,0,0
1004,,73,50,0.01,0,0
1005,,67,43,0,0,0
1006,,58,44,0,0,0
1007,,55,45,0.23,0,0
1008,,62,29,0.2,0,0
1009,,44,25,0,0,0
1010,,38,14,0,0,0
1011,,47,14,0,0,0
1012,,55,26,0,0,0
1013,,62,48,1.31,0,0
1014,,61,42,0.02,0,0
1015,,59,38,0,0,0
1016,,52,35,0,0,0
1017,,54,33,0,0,0
1018,,36,24,0.03,0.2,0
1019,,30,21,0,0,0
1020,,37,24,0,0,0
1021,,45,36,0.27,0,0
1022,,48,42,0.22,0,0
1023,,49,43,0.55,0,0
1024,,43,29,0,0,0
